Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  160.99514484405518  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 86/150 | Train Loss: 0.0479 | Epoch Time: 0.01s | Spearman@80: 0.0469 | Kendall@80: 0.0456
Epoch 87/150 | Train Loss: 0.0823 | Epoch Time: 0.01s | Spearman@80: 0.0274 | Kendall@80: 0.0272
Epoch 88/150 | Train Loss: 0.0292 | Epoch Time: 0.01s | Spearman@80: 0.0094 | Kendall@80: 0.0165
Epoch 89/150 | Train Loss: 0.0851 | Epoch Time: 0.01s | Spearman@80: 0.0024 | Kendall@80: 0.0032
Epoch 90/150 | Train Loss: 0.0959 | Epoch Time: 0.01s | Spearman@80: -0.0212 | Kendall@80: -0.0082
Epoch 91/150 | Train Loss: 0.0805 | Epoch Time: 0.01s | Spearman@80: -0.0177 | Kendall@80: -0.0032
Epoch 92/150 | Train Loss: 0.1206 | Epoch Time: 0.01s | Spearman@80: 0.1172 | Kendall@80: 0.0823
Epoch 93/150 | Train Loss: 0.0815 | Epoch Time: 0.01s | Spearman@80: 0.0742 | Kendall@80: 0.0525
Epoch 94/150 | Train Loss: 0.0310 | Epoch Time: 0.01s | Spearman@80: 0.0565 | Kendall@80: 0.0418
Epoch 95/150 | Train Loss: 0.0259 | Epoch Time: 0.01s | Spearman@80: 0.0560 | Kendall@80: 0.0424
Epoch 96/150 | Train Loss: 0.0347 | Epoch Time: 0.01s | Spearman@80: 0.0672 | Kendall@80: 0.0506
Epoch 97/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0710 | Kendall@80: 0.0519
Epoch 98/150 | Train Loss: 0.1250 | Epoch Time: 0.01s | Spearman@80: 0.0179 | Kendall@80: 0.0247
Epoch 99/150 | Train Loss: 0.0314 | Epoch Time: 0.01s | Spearman@80: 0.0025 | Kendall@80: 0.0101
Epoch 100/150 | Train Loss: 0.1073 | Epoch Time: 0.01s | Spearman@80: 0.0039 | Kendall@80: 0.0108
Epoch 101/150 | Train Loss: 0.0095 | Epoch Time: 0.01s | Spearman@80: -0.0046 | Kendall@80: 0.0044
Epoch 102/150 | Train Loss: 0.0323 | Epoch Time: 0.01s | Spearman@80: -0.0009 | Kendall@80: 0.0057
Epoch 103/150 | Train Loss: 0.0811 | Epoch Time: 0.01s | Spearman@80: 0.0008 | Kendall@80: 0.0057
Epoch 104/150 | Train Loss: 0.0314 | Epoch Time: 0.01s | Spearman@80: -0.0008 | Kendall@80: 0.0025
Epoch 105/150 | Train Loss: 0.0908 | Epoch Time: 0.01s | Spearman@80: 0.0000 | Kendall@80: 0.0070
Epoch 106/150 | Train Loss: 0.0966 | Epoch Time: 0.01s | Spearman@80: 0.0012 | Kendall@80: 0.0057
Epoch 107/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0116 | Kendall@80: -0.0019
Epoch 108/150 | Train Loss: 0.0041 | Epoch Time: 0.01s | Spearman@80: 0.0012 | Kendall@80: 0.0025
Epoch 109/150 | Train Loss: 0.0443 | Epoch Time: 0.01s | Spearman@80: -0.0075 | Kendall@80: 0.0006
Epoch 110/150 | Train Loss: 0.0903 | Epoch Time: 0.01s | Spearman@80: 0.0091 | Kendall@80: 0.0127
Epoch 111/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0118 | Kendall@80: 0.0152
Epoch 112/150 | Train Loss: 0.0884 | Epoch Time: 0.01s | Spearman@80: 0.0157 | Kendall@80: 0.0184
Epoch 113/150 | Train Loss: 0.0930 | Epoch Time: 0.01s | Spearman@80: 0.0118 | Kendall@80: 0.0234
Epoch 114/150 | Train Loss: 0.0952 | Epoch Time: 0.01s | Spearman@80: 0.0125 | Kendall@80: 0.0215
Epoch 115/150 | Train Loss: 0.1011 | Epoch Time: 0.01s | Spearman@80: 0.0261 | Kendall@80: 0.0278
