Loading Files for NASBench101...
Loading dataset from file... This may take a few minutes...
Loaded dataset in 48 seconds
Loaded files in:  76.13930082321167  seconds
Normalizing ZCP dict
Epoch 90/150 | Train Loss: 0.0057 | Epoch Time: 0.04s | Spearman@80: 0.2113 | Kendall@80: 0.1456
Epoch 91/150 | Train Loss: 0.0008 | Epoch Time: 0.04s | Spearman@80: 0.2141 | Kendall@80: 0.1494
Epoch 92/150 | Train Loss: 0.0054 | Epoch Time: 0.04s | Spearman@80: 0.2115 | Kendall@80: 0.1481
Epoch 93/150 | Train Loss: 0.0047 | Epoch Time: 0.04s | Spearman@80: 0.2094 | Kendall@80: 0.1462
Epoch 94/150 | Train Loss: 0.0010 | Epoch Time: 0.04s | Spearman@80: 0.2128 | Kendall@80: 0.1481
Epoch 95/150 | Train Loss: 0.0013 | Epoch Time: 0.04s | Spearman@80: 0.2138 | Kendall@80: 0.1519
Epoch 96/150 | Train Loss: 0.0022 | Epoch Time: 0.04s | Spearman@80: 0.2221 | Kendall@80: 0.1601
Epoch 97/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2315 | Kendall@80: 0.1646
Epoch 98/150 | Train Loss: 0.0050 | Epoch Time: 0.05s | Spearman@80: 0.2372 | Kendall@80: 0.1665
Epoch 99/150 | Train Loss: 0.0032 | Epoch Time: 0.04s | Spearman@80: 0.2396 | Kendall@80: 0.1665
Epoch 100/150 | Train Loss: 0.0006 | Epoch Time: 0.04s | Spearman@80: 0.2485 | Kendall@80: 0.1766
Epoch 101/150 | Train Loss: 0.0138 | Epoch Time: 0.04s | Spearman@80: 0.2466 | Kendall@80: 0.1772
Epoch 102/150 | Train Loss: 0.0043 | Epoch Time: 0.04s | Spearman@80: 0.2476 | Kendall@80: 0.1772
Epoch 103/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2483 | Kendall@80: 0.1759
Epoch 104/150 | Train Loss: 0.0020 | Epoch Time: 0.04s | Spearman@80: 0.2559 | Kendall@80: 0.1823
Epoch 105/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2608 | Kendall@80: 0.1842
Epoch 106/150 | Train Loss: 0.0011 | Epoch Time: 0.05s | Spearman@80: 0.2611 | Kendall@80: 0.1848
Epoch 107/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2585 | Kendall@80: 0.1829
Epoch 108/150 | Train Loss: 0.0081 | Epoch Time: 0.04s | Spearman@80: 0.2619 | Kendall@80: 0.1861
