uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,sampling_method,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
17439966,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6240,256,15,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7539348238376478,0.580421660278682,0.02668959509645471,0.029860602994077456
17439966,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6240,256,20,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.784548164358252,0.6161276447993277,0.01855522498874179,0.023322426165940775
17439966,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6240,256,30,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7770071095302861,0.6120987428779596,0.02646584133377034,0.030066664681474304
306635834,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,eyeriss,256,5,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7183110922907893,0.5497539370078741,0.08376787036093673,0.0783853020189343
306635834,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,eyeriss,256,10,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8023233878105354,0.6208292322834646,0.05242090347876732,0.0570330719186007
306635834,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,eyeriss,256,15,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8374138779527559,0.6612532808398952,0.022347827136644922,0.027526390177351423
306635834,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,eyeriss,256,20,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8367178439540988,0.6596005577427821,0.01764693086333089,0.018332320591889207
306635834,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,eyeriss,256,30,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8362965802966489,0.6622580380577429,0.036763993086924615,0.039065956286524636
383426624,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,zcp,1,titanx_1,256,5,adj_gin_zcp,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7223817434272617,0.5713393022854079,0.09139351818343998,0.09808300912962922
383426624,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,zcp,1,titanx_1,256,10,adj_gin_zcp,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8071661800345818,0.6662160203526739,0.05070437064714985,0.0585287335020261
