name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,gnn_type,back_dense,key,residual,leakyrelu,uap,opattn,attnresc,fgcn,bgcn,bmlp,bmlpdims,fbcd,back_y_info,back_opemb,ensemble_fuse_method,back_opemb_only,spr,kdt,spr_std,kdt_std
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,mlp,False,0.8311208159348068,0.646609585576041,0.0007995477270577439,0.0008360591924874746
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,mlp,False,0.8820689330580229,0.7070104336433378,0.0002870464618263184,0.0003709656698892898
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,True,mlp,False,0.8223889737773318,0.6324528078470384,0.0008450734957189908,0.000858061210343514
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,True,mlp,False,0.872445727306354,0.6921808030696159,3.327059553348762e-05,5.7748591277391405e-05
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,mlp,False,0.7944405267563764,0.6046545393926546,0.0006271957424078867,0.0007652923118445722
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,mlp,False,0.8645010964454606,0.6846669832235168,0.00018875568645983402,0.000262526605388158
archabl,42,8,150,nb101,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,mlp,False,0.8393127140992073,0.6514580864731017,0.0005571484467825986,0.0005911912630048727
archabl,42,8,150,nb101,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,mlp,False,0.9003122017078946,0.7276440191323342,0.00011909607233171703,0.00023699838918701485
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,False,mlp,False,0.8170915760888839,0.6318781954864282,0.0002104905447539944,0.00022506870596586344
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,False,mlp,False,0.8835055829628702,0.7067058150474445,0.00010995938690171235,0.00018794059238959234
