name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,gnn_type,back_dense,key,residual,leakyrelu,uap,opattn,attnresc,fgcn,bgcn,bmlp,bmlpdims,fbcd,back_y_info,back_opemb,spr,kdt,spr_std,kdt_std
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,False,0.9279520476144971,0.7827868172571598,4.6614563846828465e-05,0.0001332160346257873
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,0.922090479118172,0.7733371882817109,0.0001046165252702035,0.00011552170211142215
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,0.9281962460931211,0.7843846065267965,7.905882195208563e-05,0.0002628554204798772
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,0.926959690144772,0.784531224521945,0.00015120680593429386,0.00014513305075804524
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,0.9320593258719828,0.7927256068644787,0.0001617920084262448,0.0004253714513646453
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,0.9304458452707225,0.7893551781398372,0.00015606100721632713,0.00020795592047236327
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,0.932643615557201,0.7917930839914501,9.70539942698952e-05,0.00031118819506145457
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,True,0.9229184006606079,0.7724916370577016,2.2130402537509974e-05,4.218928387605916e-06
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,True,0.9242785881681083,0.7753976778181189,1.893211955101713e-05,6.225782268541763e-05
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,True,0.9231931309680822,0.774574327649376,4.7264885827685896e-05,8.560049458512312e-06
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,True,0.929080592912563,0.7846294776356487,2.9681871461393234e-05,0.00010921144233814804
