uid,name_desc,seed,source_devices,target_device,dev_train_samples,emb_transfer_samples,num_trials,spr,kdt,spr_std,kdt_std
977621261,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,2080ti_1,900,16,3,0.11186449663768622,0.07487468508141677,0.05966565533862549,0.04007743594763192
977621261,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,titan_rtx_1,900,16,3,0.12340151402406052,0.08262153764086151,0.0422835516837821,0.02857926910072002
977621261,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,titan_rtx_32,900,16,3,0.21370461688693201,0.14455960836801054,0.1097747171176249,0.07483889258634638
41599377,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,1080ti_1,900,16,3,0.2329131445198763,0.1568181407228064,0.07199944854699084,0.04866465030536869
41599377,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,1080ti_32,900,16,3,0.26193157866926314,0.17718354337534173,0.09086890477883718,0.06324383825629383
41599377,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,2080ti_32,900,16,3,0.3028829932993197,0.2043608721744349,0.008496441800355888,0.004774208775694405
41599377,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,titan_rtx_1,900,16,3,0.253144395394126,0.16988880929705638,0.05098719191015527,0.0347866371672289
41599377,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,titanxp_1,900,16,3,0.13890153400406133,0.09274254850970194,0.0390674451069355,0.026188559181158394
826537497,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,titanx_1,900,20,3,0.4548891379106747,0.31357293144992426,0.059812010852710956,0.044063316319432985
826537497,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,titanx_32,900,20,3,0.5592618236547434,0.3917427001443842,0.04617359522383866,0.03649669372103926
826537497,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,titanx_64,900,20,3,0.5336615293144611,0.3727099019803961,0.09169444241525902,0.07019164114962778
826537497,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,gold_6240,900,20,3,0.6527035516761419,0.4685492831899713,0.047993876680057244,0.04194706323046195
372244340,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,eyeriss,900,20,3,0.6322238085368249,0.44981736439236103,0.02106969303916411,0.017418454357173947
372244340,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,fpga,900,20,3,0.6027211937995256,0.4258373262591883,0.04807370684501358,0.03789186148583845
372244340,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,raspi4,900,20,3,0.5128386426255456,0.3572183770087351,0.08723623999860242,0.0630744553366603
372244340,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,samsung_a50,900,20,3,0.5851070612165222,0.4227285628843618,0.033581229902216854,0.02600661086575459
372244340,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,samsung_s7,900,20,3,0.3871700316528744,0.2742243910412136,0.11417463191361839,0.08371134247816882
554632740,multipredict_baseline,10,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,1080ti_1,900,20,3,0.504758954654358,0.35002728545709144,0.04368609171559745,0.03347253476184312
554632740,multipredict_baseline,10,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,pixel2,900,20,3,0.6482167872338972,0.47473274314250613,0.022448485127301257,0.0181208022287037
554632740,multipredict_baseline,10,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,essential_ph_1,900,20,3,0.5502611955822577,0.3925629402262012,0.01604902661485295,0.012815897339170788
120884463,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,1080ti_1,900,20,3,0.11519387294461038,0.0772560121555594,0.01011014089509627,0.006802214952117243
120884463,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,1080ti_32,900,20,3,0.330472811734578,0.22577083836509623,0.11684855115401831,0.08115503243985284
120884463,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,2080ti_1,900,20,3,0.1436954105158164,0.09630587450823498,0.017986967330789604,0.0121163793411381
120884463,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,titan_rtx_1,900,20,3,0.0845041900361676,0.05676495299059812,0.04510812961489713,0.03038433685837621
120884463,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,titan_rtx_32,900,20,3,0.15807397710695906,0.1063619123824765,0.06127154177371193,0.04134669390422681
966491633,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,1080ti_1,900,20,3,0.20185773663848208,0.1357951103674194,0.05254552148790083,0.03546679652339774
966491633,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,1080ti_32,900,20,3,0.34850455176418205,0.23688492365139693,0.04677475507977327,0.03361142616964208
966491633,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,2080ti_32,900,20,3,0.3605660193826407,0.2457298393011936,0.01949781396382646,0.01359190433234355
966491633,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,titan_rtx_1,900,20,3,0.2428995031573072,0.1640016284788177,0.05450408879646088,0.037158404115692927
966491633,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,titanxp_1,900,20,3,0.11620262608968539,0.07791342445540102,0.06139146039737444,0.04135935698050968
